user_id,trade_date,total_valuation,daily_change_value,daily_change_percent,cumulative_return
U000000001,2025-06-26,701367.13,-264.08,-0.040000,-1.460000
U000000001,2025-06-25,701631.21,666.40,0.100000,-1.420000
U000000001,2025-06-24,700964.81,-3344.20,-0.470000,-1.520000
U000000001,2025-06-23,704309.01,-3350.30,-0.470000,-1.050000
U000000001,2025-06-20,707659.31,-1970.43,-0.280000,-0.580000
U000000001,2025-06-19,709629.74,13698.34,1.970000,-0.300000
U000000001,2025-06-18,695931.40,-24665.41,-3.420000,-2.230000
U000000001,2025-06-17,720596.81,12717.18,1.800000,1.240000
U000000001,2025-06-16,707879.63,441.52,0.060000,-0.550000
U000000001,2025-06-13,707438.11,-12434.53,-1.730000,-0.610000
U000000001,2025-06-12,719872.64,18462.39,2.630000,1.140000
U000000001,2025-06-11,701410.25,-2444.72,-0.350000,-1.460000
U000000001,2025-06-10,703854.97,-16429.64,-2.280000,-1.110000
U000000001,2025-06-09,720284.61,22131.66,3.170000,1.200000
U000000001,2025-06-06,698152.95,-9519.99,-1.350000,-1.910000
U000000001,2025-06-05,707672.94,1302.26,0.180000,-0.580000
U000000001,2025-06-04,706370.68,5135.53,0.730000,-0.760000
U000000001,2025-06-03,701235.15,-19127.18,-2.660000,-1.480000
U000000001,2025-06-02,720362.33,6643.99,0.930000,1.210000
U000000001,2025-05-30,713718.34,-7158.83,-0.990000,0.270000
U000000001,2025-05-29,720877.17,11295.25,1.590000,1.280000
U000000001,2025-05-28,709581.92,-6664.98,-0.930000,-0.310000
U000000001,2025-05-27,716246.90,18991.72,2.720000,0.630000
U000000001,2025-05-26,697255.18,-14334.25,-2.010000,-2.040000
U000000001,2025-05-23,711589.43,-4880.27,-0.680000,-0.030000
U000000001,2025-05-22,716469.70,29385.73,4.280000,0.660000
U000000001,2025-05-21,687083.97,-28410.29,-3.970000,-3.470000
U000000001,2025-05-20,715494.26,-5282.26,-0.730000,0.520000
U000000001,2025-05-19,720776.52,3332.38,0.460000,1.260000
U000000001,2025-05-16,717444.14,3212.12,0.450000,0.800000
U000000001,2025-05-15,714232.02,-791.78,-0.110000,0.350000
U000000001,2025-05-14,715023.80,15005.60,2.140000,0.460000
U000000001,2025-05-13,700018.20,8007.81,1.160000,-1.650000
U000000001,2025-05-12,692010.39,-12479.32,-1.770000,-2.780000
U000000001,2025-05-09,704489.71,-4114.41,-0.580000,-1.020000
U000000001,2025-05-08,708604.12,-6825.74,-0.950000,-0.450000
U000000001,2025-05-07,715429.86,9094.71,1.290000,0.510000
U000000001,2025-05-06,706335.15,-3652.32,-0.510000,-0.760000
U000000001,2025-05-05,709987.47,9427.06,1.350000,-0.250000
U000000001,2025-05-02,700560.41,-8184.38,-1.150000,-1.580000
U000000001,2025-05-01,708744.79,3129.38,0.440000,-0.430000
U000000001,2025-04-30,705615.41,3922.58,0.560000,-0.870000
U000000001,2025-04-29,701692.83,-4232.43,-0.600000,-1.420000
U000000001,2025-04-28,705925.26,960.51,0.140000,-0.820000
U000000001,2025-04-25,704964.75,-10128.88,-1.420000,-0.960000
U000000001,2025-04-24,715093.63,23340.27,3.370000,0.470000
U000000001,2025-04-23,691753.36,-20692.32,-2.900000,-2.810000
U000000001,2025-04-22,712445.68,-4154.93,-0.580000,0.090000
U000000001,2025-04-21,716600.61,27360.61,3.970000,0.680000
U000000001,2025-04-18,689240.00,-5986.84,-0.860000,-3.170000
U000000001,2025-04-17,695226.84,-4334.89,-0.620000,-2.320000
U000000001,2025-04-16,699561.73,-13070.21,-1.830000,-1.720000
U000000001,2025-04-15,712631.94,3754.18,0.530000,0.120000
